id,EAP,HPL,MWS
id02310,0.004351671109781125,0.0006081556555882999,0.9950401732346245
id24541,0.9999397910006681,5.748193991252621e-05,2.727059410972815e-06
id00134,0.6163864142463017,0.3835460936279254,6.74921257697462e-05
id27757,0.058670500495443166,0.9413291270902059,3.7241435114477815e-07
id04081,0.9724421109117471,0.01648092802553167,0.011076961062718913
id27337,0.41721528204505515,0.5821775297039057,0.0006071882510351635
id24265,0.4186502138760471,0.5635761068853615,0.017773679238591526
id25917,0.0006072321454345939,0.030960246143691982,0.9684325217108678
id04951,0.9992473228733387,0.0007524823263579122,1.948003036746202e-07
id14549,0.7795458251446472,0.07846750424881996,0.14198667060653267
id22505,0.0027384820075783477,0.009554382980764364,0.9877071350116474
id24002,1.2250049884348765e-08,0.999999986856409,8.935278763849116e-10
id18982,0.1007534203185308,0.8546930741997089,0.04455350548176529
id15181,0.00017589184824768085,0.9998203198336769,3.788318069587798e-06
id21888,0.542819518954841,0.19361044404949015,0.26357003699566717
id12035,0.00016161581963540237,5.523049470186653e-05,0.9997831536856645
id17991,0.31781673238788144,0.028653699480133063,0.6535295681319887
id10707,0.9999997810591834,1.6539944691641405e-08,2.0240087695421283e-07
id07101,0.06872176081974501,0.16948672769657547,0.7617915114836732
id00345,0.030217134859967906,0.9682790593193848,0.0015038058206411392
id05912,0.9594789414970868,0.017713406743827875,0.022807651759086448
id13443,0.9956894894739586,0.00014635395220478168,0.004164156573836543
id09248,0.13010263132242544,0.10297555762776334,0.7669218110498128
id17542,0.004233715841541535,0.9941396647954333,0.001626619363025833
id06995,8.958837612663783e-05,1.349678669348664e-07,0.9999102766559949
id25159,0.802609748987162,0.05547109695685227,0.14191915405598704
id25729,0.8765081509788044,0.12124094195176954,0.002250907069430846
id26949,0.9850160341780266,0.011241016304811122,0.0037429495171637187
id27191,0.8930663412032401,0.0011198685566900719,0.10581379024006692
id07668,0.133980437371671,2.820342548635418e-07,0.8660192805940884
id02230,0.1858396243060309,0.18936451948115296,0.6247958562128132
id15553,0.9999844987194213,2.031751566431683e-06,1.3469529002360625e-05
id25688,3.11924456622746e-05,0.9999414141231883,2.7393431151612564e-05
id17545,0.993188612198058,0.0015210360077987763,0.005290351794141393
id13929,0.18508635025709128,0.6293678554514014,0.18554579429150855
id12880,0.818722433972974,0.09263428756547347,0.08864327846154946
id19282,0.5541953312235909,0.0430919025206524,0.40271276625575664
id14690,0.006105792281514864,0.00020467435715476606,0.9936895333613308
id17975,0.0003380547793171457,0.9992377683309486,0.00042417688973072276
id08037,0.8899260081977826,9.382981838893229e-07,0.11007305350403179
id15412,0.04836576383492048,0.0075023848176185605,0.9441318513474614
id25032,0.37059774080191,0.24037128843649175,0.38903097076159837
id27165,0.9999693622057939,8.249900315909707e-06,2.2387893896179934e-05
